FEW SHOT FINE TUNING

training dataset size: 236
mean: tensor([0.7739, 0.7576, 0.7179])
std: tensor([0.2972, 0.2968, 0.3353])

lr=0.01 e=0: train acc 0.11640211194753647 | val acc 0.1702127605676651
lr=0.01 e=1: train acc 0.48677247762680054 | val acc 0.23404254019260406
lr=0.01 e=2: train acc 0.6931216716766357 | val acc 0.6170212626457214
lr=0.01 e=3: train acc 0.8783068656921387 | val acc 0.6595744490623474
lr=0.01 e=4: train acc 0.899470865726471 | val acc 0.7659574151039124
lr=0.01 e=5: train acc 0.9365078806877136 | val acc 0.6808510422706604
lr=0.01 e=6: train acc 0.8888888359069824 | val acc 0.6382978558540344
lr=0.01 e=7: train acc 0.9312168955802917 | val acc 0.7872340083122253
lr=0.01 e=8: train acc 0.9576719403266907 | val acc 0.6170212626457214
lr=0.01 e=9: train acc 0.7830687761306763 | val acc 0.46808508038520813
lr=0.01 e=10: train acc 0.9947089552879333 | val acc 0.7021276354789734
lr=0.01 e=11: train acc 0.9947089552879333 | val acc 0.6808510422706604
lr=0.01 e=12: train acc 0.9894179701805115 | val acc 0.6382978558540344
lr=0.01 e=13: train acc 0.9999999403953552 | val acc 0.7446808218955994
lr=0.01 e=14: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.01 e=15: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=16: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=17: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=18: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=19: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=20: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=21: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=22: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=23: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=24: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=25: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=26: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=27: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=28: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=29: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=30: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=31: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=32: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=33: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=34: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=35: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=36: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=37: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=38: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=39: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=40: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=41: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=42: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=43: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=44: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=45: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=46: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=47: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=48: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=49: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.01 e=50: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.03 e=0: train acc 0.21693120896816254 | val acc 0.1489361673593521
lr=0.03 e=1: train acc 0.6455026268959045 | val acc 0.5744680762290955
lr=0.03 e=2: train acc 0.5343915224075317 | val acc 0.40425530076026917
lr=0.03 e=3: train acc 0.8042327761650085 | val acc 0.5957446694374084
lr=0.03 e=4: train acc 0.6296296119689941 | val acc 0.5744680762290955
lr=0.03 e=5: train acc 0.6137565970420837 | val acc 0.5106382966041565
lr=0.03 e=6: train acc 0.9629629254341125 | val acc 0.7446808218955994
lr=0.03 e=7: train acc 0.9470899105072021 | val acc 0.6808510422706604
lr=0.03 e=8: train acc 0.9841269254684448 | val acc 0.6808510422706604
lr=0.03 e=9: train acc 0.9841269254684448 | val acc 0.6382978558540344
lr=0.03 e=10: train acc 0.9470899105072021 | val acc 0.5957446694374084
lr=0.03 e=11: train acc 0.9735449552536011 | val acc 0.7234042286872864
lr=0.03 e=12: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.03 e=13: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.03 e=14: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.03 e=15: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.03 e=16: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.03 e=17: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.03 e=18: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.03 e=19: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.03 e=20: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.03 e=21: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.03 e=22: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.03 e=23: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=24: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=25: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=26: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=27: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=28: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=29: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=30: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=31: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=32: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=33: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=34: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=35: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=36: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=37: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=38: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=39: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=40: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=41: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=42: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=43: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=44: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=45: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=46: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=47: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.03 e=48: train acc 0.9999999403953552 | val acc 0.6595744490623474
lr=0.03 e=49: train acc 0.9999999403953552 | val acc 0.6595744490623474
lr=0.03 e=50: train acc 0.9999999403953552 | val acc 0.6595744490623474
lr=0.001 e=0: train acc 0.06878306716680527 | val acc 0.08510638028383255
lr=0.001 e=1: train acc 0.29100528359413147 | val acc 0.1914893537759781
lr=0.001 e=2: train acc 0.4497354328632355 | val acc 0.2978723347187042
lr=0.001 e=3: train acc 0.5978835821151733 | val acc 0.3829787075519562
lr=0.001 e=4: train acc 0.6719576716423035 | val acc 0.40425530076026917
lr=0.001 e=5: train acc 0.7566137313842773 | val acc 0.46808508038520813
lr=0.001 e=6: train acc 0.8253967761993408 | val acc 0.5531914830207825
lr=0.001 e=7: train acc 0.8412697911262512 | val acc 0.4893616735935211
lr=0.001 e=8: train acc 0.8677248358726501 | val acc 0.5957446694374084
lr=0.001 e=9: train acc 0.8941798806190491 | val acc 0.6382978558540344
lr=0.001 e=10: train acc 0.873015820980072 | val acc 0.5744680762290955
lr=0.001 e=11: train acc 0.899470865726471 | val acc 0.5957446694374084
lr=0.001 e=12: train acc 0.9100528955459595 | val acc 0.5957446694374084
lr=0.001 e=13: train acc 0.9153438806533813 | val acc 0.6595744490623474
lr=0.001 e=14: train acc 0.9153438806533813 | val acc 0.6382978558540344
lr=0.001 e=15: train acc 0.9153438806533813 | val acc 0.6382978558540344
lr=0.001 e=16: train acc 0.9206348657608032 | val acc 0.6382978558540344
lr=0.001 e=17: train acc 0.9312168955802917 | val acc 0.6595744490623474
lr=0.001 e=18: train acc 0.9206348657608032 | val acc 0.6382978558540344
lr=0.001 e=19: train acc 0.9417989253997803 | val acc 0.7021276354789734
lr=0.001 e=20: train acc 0.952380895614624 | val acc 0.6808510422706604
lr=0.001 e=21: train acc 0.952380895614624 | val acc 0.6595744490623474
lr=0.001 e=22: train acc 0.9417989253997803 | val acc 0.6382978558540344
lr=0.001 e=23: train acc 0.9576719403266907 | val acc 0.6382978558540344
lr=0.001 e=24: train acc 0.9682539105415344 | val acc 0.6170212626457214
lr=0.001 e=25: train acc 0.9629629254341125 | val acc 0.7021276354789734
lr=0.001 e=26: train acc 0.978835940361023 | val acc 0.6808510422706604
lr=0.001 e=27: train acc 0.9470899105072021 | val acc 0.6808510422706604
lr=0.001 e=28: train acc 0.9735449552536011 | val acc 0.6595744490623474
lr=0.001 e=29: train acc 0.9682539105415344 | val acc 0.6595744490623474
lr=0.001 e=30: train acc 0.978835940361023 | val acc 0.6808510422706604
lr=0.001 e=31: train acc 0.9841269254684448 | val acc 0.7021276354789734
lr=0.001 e=32: train acc 0.9841269254684448 | val acc 0.7021276354789734
lr=0.001 e=33: train acc 0.9894179701805115 | val acc 0.7021276354789734
lr=0.001 e=34: train acc 0.9894179701805115 | val acc 0.6808510422706604
lr=0.001 e=35: train acc 0.9894179701805115 | val acc 0.7021276354789734
lr=0.001 e=36: train acc 0.9894179701805115 | val acc 0.6808510422706604
lr=0.001 e=37: train acc 0.9894179701805115 | val acc 0.7234042286872864
lr=0.001 e=38: train acc 0.9894179701805115 | val acc 0.6808510422706604
lr=0.001 e=39: train acc 0.9894179701805115 | val acc 0.7021276354789734
lr=0.001 e=40: train acc 0.9894179701805115 | val acc 0.7021276354789734
lr=0.001 e=41: train acc 0.9894179701805115 | val acc 0.6808510422706604
lr=0.001 e=42: train acc 0.9947089552879333 | val acc 0.7021276354789734
lr=0.001 e=43: train acc 0.9947089552879333 | val acc 0.6808510422706604
lr=0.001 e=44: train acc 0.9947089552879333 | val acc 0.7021276354789734
lr=0.001 e=45: train acc 0.9947089552879333 | val acc 0.6808510422706604
lr=0.001 e=46: train acc 0.9947089552879333 | val acc 0.6808510422706604
lr=0.001 e=47: train acc 0.9947089552879333 | val acc 0.7021276354789734
lr=0.001 e=48: train acc 0.9947089552879333 | val acc 0.7021276354789734
lr=0.001 e=49: train acc 0.9947089552879333 | val acc 0.7021276354789734
lr=0.001 e=50: train acc 0.9947089552879333 | val acc 0.7021276354789734
lr=0.003 e=0: train acc 0.079365074634552 | val acc 0.042553190141916275
lr=0.003 e=1: train acc 0.4126983880996704 | val acc 0.3191489279270172
lr=0.003 e=2: train acc 0.6190475821495056 | val acc 0.42553189396858215
lr=0.003 e=3: train acc 0.8518518209457397 | val acc 0.7659574151039124
lr=0.003 e=4: train acc 0.8306878209114075 | val acc 0.6382978558540344
lr=0.003 e=5: train acc 0.9047618508338928 | val acc 0.7659574151039124
lr=0.003 e=6: train acc 0.9047618508338928 | val acc 0.7021276354789734
lr=0.003 e=7: train acc 0.9365078806877136 | val acc 0.7446808218955994
lr=0.003 e=8: train acc 0.9312168955802917 | val acc 0.8085106015205383
lr=0.003 e=9: train acc 0.9576719403266907 | val acc 0.7021276354789734
lr=0.003 e=10: train acc 0.9629629254341125 | val acc 0.7021276354789734
lr=0.003 e=11: train acc 0.952380895614624 | val acc 0.7872340083122253
lr=0.003 e=12: train acc 0.9206348657608032 | val acc 0.7659574151039124
lr=0.003 e=13: train acc 0.9894179701805115 | val acc 0.6808510422706604
lr=0.003 e=14: train acc 0.9947089552879333 | val acc 0.7446808218955994
lr=0.003 e=15: train acc 0.9841269254684448 | val acc 0.7021276354789734
lr=0.003 e=16: train acc 0.9894179701805115 | val acc 0.6808510422706604
lr=0.003 e=17: train acc 0.9947089552879333 | val acc 0.6808510422706604
lr=0.003 e=18: train acc 0.9947089552879333 | val acc 0.7659574151039124
lr=0.003 e=19: train acc 0.9947089552879333 | val acc 0.7234042286872864
lr=0.003 e=20: train acc 0.9947089552879333 | val acc 0.7234042286872864
lr=0.003 e=21: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.003 e=22: train acc 0.9999999403953552 | val acc 0.7446808218955994
lr=0.003 e=23: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.003 e=24: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.003 e=25: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.003 e=26: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.003 e=27: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.003 e=28: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.003 e=29: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.003 e=30: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.003 e=31: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.003 e=32: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.003 e=33: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.003 e=34: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.003 e=35: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.003 e=36: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.003 e=37: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.003 e=38: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.003 e=39: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.003 e=40: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.003 e=41: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.003 e=42: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.003 e=43: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.003 e=44: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.003 e=45: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.003 e=46: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.003 e=47: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.003 e=48: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.003 e=49: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.003 e=50: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.0001 e=0: train acc 0.13756613433361053 | val acc 0.10638297349214554
lr=0.0001 e=1: train acc 0.19576719403266907 | val acc 0.12765957415103912
lr=0.0001 e=2: train acc 0.20105819404125214 | val acc 0.10638297349214554
lr=0.0001 e=3: train acc 0.24338623881340027 | val acc 0.10638297349214554
lr=0.0001 e=4: train acc 0.2539682388305664 | val acc 0.12765957415103912
lr=0.0001 e=5: train acc 0.2698412537574768 | val acc 0.12765957415103912
lr=0.0001 e=6: train acc 0.3015872836112976 | val acc 0.12765957415103912
lr=0.0001 e=7: train acc 0.3333333134651184 | val acc 0.1702127605676651
lr=0.0001 e=8: train acc 0.33862432837486267 | val acc 0.1702127605676651
lr=0.0001 e=9: train acc 0.37566137313842773 | val acc 0.1702127605676651
lr=0.0001 e=10: train acc 0.39682537317276 | val acc 0.1914893537759781
lr=0.0001 e=11: train acc 0.4285714030265808 | val acc 0.1914893537759781
lr=0.0001 e=12: train acc 0.4497354328632355 | val acc 0.21276594698429108
lr=0.0001 e=13: train acc 0.47089946269989014 | val acc 0.25531914830207825
lr=0.0001 e=14: train acc 0.4973544776439667 | val acc 0.3404255211353302
lr=0.0001 e=15: train acc 0.5026454925537109 | val acc 0.3191489279270172
lr=0.0001 e=16: train acc 0.5185185074806213 | val acc 0.3829787075519562
lr=0.0001 e=17: train acc 0.5291005373001099 | val acc 0.40425530076026917
