FEW SHOT FROM SCRATCH

mean: tensor([0.7739, 0.7576, 0.7179])
std: tensor([0.2972, 0.2968, 0.3353])

lr=0.01 e=0: train acc 0.11640211194753647 | val acc 0.1489361673593521
lr=0.01 e=1: train acc 0.13756613433361053 | val acc 0.10638297349214554
lr=0.01 e=2: train acc 0.32804232835769653 | val acc 0.23404254019260406
lr=0.01 e=3: train acc 0.2539682388305664 | val acc 0.1914893537759781
lr=0.01 e=4: train acc 0.40740740299224854 | val acc 0.3617021143436432
lr=0.01 e=5: train acc 0.42328041791915894 | val acc 0.27659574151039124
lr=0.01 e=6: train acc 0.33862432837486267 | val acc 0.27659574151039124
lr=0.01 e=7: train acc 0.4656084477901459 | val acc 0.3404255211353302
lr=0.01 e=8: train acc 0.4021163880825043 | val acc 0.25531914830207825
lr=0.01 e=9: train acc 0.5079364776611328 | val acc 0.3617021143436432
lr=0.01 e=10: train acc 0.5079364776611328 | val acc 0.21276594698429108
lr=0.01 e=11: train acc 0.5396825075149536 | val acc 0.46808508038520813
lr=0.01 e=12: train acc 0.5714285373687744 | val acc 0.2978723347187042
lr=0.01 e=13: train acc 0.5873015522956848 | val acc 0.3829787075519562
lr=0.01 e=14: train acc 0.6137565970420837 | val acc 0.4893616735935211
lr=0.01 e=15: train acc 0.6772486567497253 | val acc 0.5319148898124695
lr=0.01 e=16: train acc 0.4920634627342224 | val acc 0.3404255211353302
lr=0.01 e=17: train acc 0.6931216716766357 | val acc 0.40425530076026917
lr=0.01 e=18: train acc 0.6507936120033264 | val acc 0.42553189396858215
lr=0.01 e=19: train acc 0.5873015522956848 | val acc 0.25531914830207825
lr=0.01 e=20: train acc 0.5608465671539307 | val acc 0.3404255211353302
lr=0.01 e=21: train acc 0.6243386268615723 | val acc 0.3191489279270172
lr=0.01 e=22: train acc 0.5714285373687744 | val acc 0.25531914830207825
lr=0.01 e=23: train acc 0.6137565970420837 | val acc 0.3404255211353302
lr=0.01 e=24: train acc 0.5502645373344421 | val acc 0.42553189396858215
lr=0.01 e=25: train acc 0.8888888359069824 | val acc 0.5106382966041565
lr=0.01 e=26: train acc 0.6772486567497253 | val acc 0.3829787075519562
lr=0.01 e=27: train acc 0.6666666269302368 | val acc 0.40425530076026917
lr=0.01 e=28: train acc 0.873015820980072 | val acc 0.3617021143436432
lr=0.01 e=29: train acc 0.899470865726471 | val acc 0.3404255211353302
lr=0.01 e=30: train acc 0.6825396418571472 | val acc 0.2978723347187042
lr=0.01 e=31: train acc 0.7830687761306763 | val acc 0.25531914830207825
lr=0.01 e=32: train acc 0.5185185074806213 | val acc 0.27659574151039124
lr=0.01 e=33: train acc 0.9947089552879333 | val acc 0.40425530076026917
lr=0.01 e=34: train acc 0.8253967761993408 | val acc 0.3191489279270172
lr=0.01 e=35: train acc 0.7195767164230347 | val acc 0.3617021143436432
lr=0.01 e=36: train acc 0.9576719403266907 | val acc 0.3829787075519562
lr=0.01 e=37: train acc 0.9259259104728699 | val acc 0.40425530076026917
lr=0.01 e=38: train acc 0.9735449552536011 | val acc 0.3404255211353302
lr=0.01 e=39: train acc 0.9682539105415344 | val acc 0.46808508038520813
lr=0.01 e=40: train acc 0.7460317015647888 | val acc 0.21276594698429108
lr=0.01 e=41: train acc 0.9470899105072021 | val acc 0.44680848717689514
lr=0.01 e=42: train acc 0.9629629254341125 | val acc 0.3404255211353302
lr=0.01 e=43: train acc 0.9894179701805115 | val acc 0.3829787075519562
lr=0.01 e=44: train acc 0.9947089552879333 | val acc 0.3829787075519562
lr=0.01 e=45: train acc 0.978835940361023 | val acc 0.44680848717689514
lr=0.01 e=46: train acc 0.9947089552879333 | val acc 0.3617021143436432
lr=0.01 e=47: train acc 0.9735449552536011 | val acc 0.3617021143436432
lr=0.01 e=48: train acc 0.9100528955459595 | val acc 0.3191489279270172
lr=0.01 e=49: train acc 0.9999999403953552 | val acc 0.3829787075519562
