FEW SHOT FULL FINE TUNING

training dataset size: 236
mean: tensor([0.7739, 0.7576, 0.7179])
std: tensor([0.2972, 0.2968, 0.3353])

lr=0.01 e=0: train acc 0.11640211194753647 | val acc 0.1702127605676651
lr=0.01 e=1: train acc 0.158730149269104 | val acc 0.08510638028383255
lr=0.01 e=2: train acc 0.1428571343421936 | val acc 0.25531914830207825
lr=0.01 e=3: train acc 0.24867723882198334 | val acc 0.21276594698429108
lr=0.01 e=4: train acc 0.1746031641960144 | val acc 0.1489361673593521
lr=0.01 e=5: train acc 0.1746031641960144 | val acc 0.1914893537759781
lr=0.01 e=6: train acc 0.238095223903656 | val acc 0.1702127605676651
lr=0.01 e=7: train acc 0.2539682388305664 | val acc 0.1914893537759781
lr=0.01 e=8: train acc 0.37037035822868347 | val acc 0.2978723347187042
lr=0.01 e=9: train acc 0.22751322388648987 | val acc 0.21276594698429108
lr=0.01 e=10: train acc 0.4021163880825043 | val acc 0.2978723347187042
lr=0.01 e=11: train acc 0.4179894030094147 | val acc 0.3404255211353302
lr=0.01 e=12: train acc 0.4656084477901459 | val acc 0.25531914830207825
lr=0.01 e=13: train acc 0.4338624179363251 | val acc 0.3191489279270172
lr=0.01 e=14: train acc 0.34391534328460693 | val acc 0.1914893537759781
lr=0.01 e=15: train acc 0.40740740299224854 | val acc 0.3191489279270172
lr=0.01 e=16: train acc 0.35449734330177307 | val acc 0.25531914830207825
lr=0.01 e=17: train acc 0.47089946269989014 | val acc 0.3829787075519562
lr=0.01 e=18: train acc 0.4021163880825043 | val acc 0.3617021143436432
lr=0.01 e=19: train acc 0.43915343284606934 | val acc 0.3829787075519562
lr=0.01 e=20: train acc 0.4603174328804016 | val acc 0.40425530076026917
lr=0.01 e=21: train acc 0.3333333134651184 | val acc 0.3191489279270172
lr=0.01 e=22: train acc 0.4444444179534912 | val acc 0.46808508038520813
lr=0.01 e=23: train acc 0.4179894030094147 | val acc 0.3404255211353302
lr=0.01 e=24: train acc 0.5291005373001099 | val acc 0.3829787075519562
lr=0.01 e=25: train acc 0.5608465671539307 | val acc 0.40425530076026917
lr=0.01 e=26: train acc 0.5978835821151733 | val acc 0.46808508038520813
lr=0.01 e=27: train acc 0.6296296119689941 | val acc 0.3829787075519562
lr=0.01 e=28: train acc 0.5608465671539307 | val acc 0.3617021143436432
lr=0.01 e=29: train acc 0.5291005373001099 | val acc 0.3829787075519562
lr=0.01 e=30: train acc 0.37037035822868347 | val acc 0.3617021143436432
lr=0.01 e=31: train acc 0.6984126567840576 | val acc 0.3617021143436432
lr=0.01 e=32: train acc 0.5661375522613525 | val acc 0.42553189396858215
lr=0.01 e=33: train acc 0.6402116417884827 | val acc 0.3829787075519562
lr=0.01 e=34: train acc 0.5767195820808411 | val acc 0.40425530076026917
lr=0.01 e=35: train acc 0.5079364776611328 | val acc 0.3829787075519562
lr=0.01 e=36: train acc 0.7619047164916992 | val acc 0.5319148898124695
lr=0.01 e=37: train acc 0.7513227462768555 | val acc 0.40425530076026917
lr=0.01 e=38: train acc 0.4444444179534912 | val acc 0.23404254019260406
lr=0.01 e=39: train acc 0.634920597076416 | val acc 0.42553189396858215
lr=0.01 e=40: train acc 0.7089946866035461 | val acc 0.3617021143436432
lr=0.01 e=41: train acc 0.7777777314186096 | val acc 0.3617021143436432
lr=0.01 e=42: train acc 0.7989417910575867 | val acc 0.44680848717689514
lr=0.01 e=43: train acc 0.7460317015647888 | val acc 0.40425530076026917
lr=0.01 e=44: train acc 0.8042327761650085 | val acc 0.3617021143436432
lr=0.01 e=45: train acc 0.9365078806877136 | val acc 0.5319148898124695
lr=0.01 e=46: train acc 0.9841269254684448 | val acc 0.5106382966041565
lr=0.01 e=47: train acc 0.8941798806190491 | val acc 0.3404255211353302
lr=0.01 e=48: train acc 0.7883597612380981 | val acc 0.3191489279270172
lr=0.01 e=49: train acc 0.9047618508338928 | val acc 0.3829787075519562
lr=0.01 e=50: train acc 0.9259259104728699 | val acc 0.42553189396858215
lr=0.03 e=0: train acc 0.21693120896816254 | val acc 0.1489361673593521
lr=0.03 e=1: train acc 0.10052909702062607 | val acc 0.1702127605676651
lr=0.03 e=2: train acc 0.14814814925193787 | val acc 0.1702127605676651
lr=0.03 e=3: train acc 0.1428571343421936 | val acc 0.1702127605676651
