SINGLE SHOT FINE TUNING

mean: tensor([0.8116, 0.7858, 0.7380])
std: tensor([0.2730, 0.2863, 0.3374])

lr=0.01 e=0: train acc 0.18138708174228668 | val acc 0.1923990547657013
lr=0.01 e=1: train acc 0.6633076667785645 | val acc 0.6080760359764099
lr=0.01 e=2: train acc 0.8162418603897095 | val acc 0.7577197551727295
lr=0.01 e=3: train acc 0.7771191596984863 | val acc 0.7434679865837097
lr=0.01 e=4: train acc 0.9128631353378296 | val acc 0.8289786577224731
lr=0.01 e=5: train acc 0.9033787846565247 | val acc 0.845605731010437
lr=0.01 e=6: train acc 0.9004149436950684 | val acc 0.8147268891334534
lr=0.01 e=7: train acc 0.8802608251571655 | val acc 0.824228048324585
lr=0.01 e=8: train acc 0.9383521676063538 | val acc 0.8669834136962891
lr=0.01 e=9: train acc 0.8850029706954956 | val acc 0.8384798169136047
lr=0.01 e=10: train acc 0.9466509222984314 | val acc 0.8479810357093811
lr=0.01 e=11: train acc 0.8079431056976318 | val acc 0.7505938410758972
lr=0.01 e=12: train acc 0.8678126931190491 | val acc 0.805225670337677
lr=0.01 e=13: train acc 0.9490219950675964 | val acc 0.8479810357093811
lr=0.01 e=14: train acc 0.9632484316825867 | val acc 0.8574821949005127
lr=0.01 e=15: train acc 0.9128631353378296 | val acc 0.8218527436256409
lr=0.01 e=16: train acc 0.8363959789276123 | val acc 0.7363420724868774
lr=0.01 e=17: train acc 0.9223474264144897 | val acc 0.8337292671203613
lr=0.01 e=18: train acc 0.9614701271057129 | val acc 0.8598574995994568
lr=0.01 e=19: train acc 0.9567279815673828 | val acc 0.8598574995994568
lr=0.01 e=20: train acc 0.9733254909515381 | val acc 0.8551069498062134
lr=0.01 e=21: train acc 0.9863663911819458 | val acc 0.8717340230941772
lr=0.01 e=22: train acc 0.9751037955284119 | val acc 0.8527316451072693
lr=0.01 e=23: train acc 0.9810314774513245 | val acc 0.8764845728874207
lr=0.01 e=24: train acc 0.982217013835907 | val acc 0.8764845728874207
lr=0.01 e=25: train acc 0.9359810948371887 | val acc 0.8337292671203613
lr=0.01 e=26: train acc 0.9786604046821594 | val acc 0.8741093277931213
lr=0.01 e=27: train acc 0.9887374639511108 | val acc 0.864608108997345
lr=0.01 e=28: train acc 0.9934796094894409 | val acc 0.8622328042984009
lr=0.01 e=29: train acc 0.9922940731048584 | val acc 0.8574821949005127
lr=0.01 e=30: train acc 0.9442798495292664 | val acc 0.8289786577224731
lr=0.01 e=31: train acc 0.9697688817977905 | val acc 0.845605731010437
lr=0.01 e=32: train acc 0.998221755027771 | val acc 0.8551069498062134
lr=0.01 e=33: train acc 0.9869591593742371 | val acc 0.8693587183952332
lr=0.01 e=34: train acc 0.9940723776817322 | val acc 0.8408551216125488
lr=0.01 e=35: train acc 0.995850682258606 | val acc 0.8669834136962891
lr=0.01 e=36: train acc 0.998221755027771 | val acc 0.8669834136962891
lr=0.01 e=37: train acc 0.9994072914123535 | val acc 0.8479810357093811
lr=0.01 e=38: train acc 0.9988145232200623 | val acc 0.8527316451072693
lr=0.01 e=39: train acc 0.9988145232200623 | val acc 0.8598574995994568
lr=0.01 e=40: train acc 1.0 | val acc 0.8693587183952332
lr=0.01 e=41: train acc 0.9988145232200623 | val acc 0.8598574995994568
lr=0.01 e=42: train acc 0.9976289868354797 | val acc 0.8598574995994568
lr=0.01 e=43: train acc 0.9994072914123535 | val acc 0.8669834136962891
lr=0.01 e=44: train acc 0.9988145232200623 | val acc 0.8527316451072693
lr=0.01 e=45: train acc 0.9994072914123535 | val acc 0.864608108997345
lr=0.01 e=46: train acc 1.0 | val acc 0.8503563404083252
lr=0.01 e=47: train acc 0.9994072914123535 | val acc 0.8622328042984009
lr=0.01 e=48: train acc 1.0 | val acc 0.8527316451072693
lr=0.01 e=49: train acc 0.9988145232200623 | val acc 0.864608108997345
lr=0.01 e=50: train acc 1.0 | val acc 0.8503563404083252
lr=0.03 e=0: train acc 0.18909306824207306 | val acc 0.16864608228206635
lr=0.03 e=1: train acc 0.8043864965438843 | val acc 0.8099762797355652
lr=0.03 e=2: train acc 0.8737403750419617 | val acc 0.8099762797355652
lr=0.03 e=3: train acc 0.8352104425430298 | val acc 0.783847987651825
lr=0.03 e=4: train acc 0.9033787846565247 | val acc 0.8313539624214172
lr=0.03 e=5: train acc 0.6490812301635742 | val acc 0.6627078652381897
lr=0.03 e=6: train acc 0.9128631353378296 | val acc 0.8551069498062134
lr=0.03 e=7: train acc 0.8855957388877869 | val acc 0.8408551216125488
lr=0.03 e=8: train acc 0.9146414399147034 | val acc 0.8479810357093811
lr=0.03 e=9: train acc 0.9098992347717285 | val acc 0.8408551216125488
lr=0.03 e=10: train acc 0.938944935798645 | val acc 0.845605731010437
lr=0.03 e=11: train acc 0.8968583345413208 | val acc 0.8622328042984009
lr=0.03 e=12: train acc 0.9508002996444702 | val acc 0.8408551216125488
lr=0.03 e=13: train acc 0.9484292268753052 | val acc 0.8551069498062134
lr=0.03 e=14: train acc 0.9377593994140625 | val acc 0.864608108997345
lr=0.03 e=15: train acc 0.9407232403755188 | val acc 0.8337292671203613
lr=0.03 e=16: train acc 0.9596918225288391 | val acc 0.845605731010437
lr=0.03 e=17: train acc 0.9466509222984314 | val acc 0.8313539624214172
lr=0.03 e=18: train acc 0.9472436904907227 | val acc 0.8551069498062134
lr=0.03 e=19: train acc 0.7510373592376709 | val acc 0.6745843291282654
lr=0.03 e=20: train acc 0.950207531452179 | val acc 0.8551069498062134
lr=0.03 e=21: train acc 0.9395377039909363 | val acc 0.8693587183952332
lr=0.03 e=22: train acc 0.9751037955284119 | val acc 0.8764845728874207
lr=0.03 e=23: train acc 0.9448726177215576 | val acc 0.8361045718193054
lr=0.03 e=24: train acc 0.9679905772209167 | val acc 0.8408551216125488
lr=0.03 e=25: train acc 0.9312389492988586 | val acc 0.826603353023529
lr=0.03 e=26: train acc 0.9430943131446838 | val acc 0.8313539624214172
lr=0.03 e=27: train acc 0.9247184991836548 | val acc 0.8123515844345093
lr=0.03 e=28: train acc 0.9816242456436157 | val acc 0.8598574995994568
lr=0.03 e=29: train acc 0.9863663911819458 | val acc 0.8432304263114929
lr=0.03 e=30: train acc 0.966212272644043 | val acc 0.8527316451072693
lr=0.03 e=31: train acc 0.9810314774513245 | val acc 0.8598574995994568
lr=0.03 e=32: train acc 0.9199763536453247 | val acc 0.824228048324585
lr=0.03 e=33: train acc 0.9893302321434021 | val acc 0.8693587183952332
lr=0.03 e=34: train acc 0.9727327227592468 | val acc 0.8479810357093811
lr=0.03 e=35: train acc 0.9905157685279846 | val acc 0.8598574995994568
lr=0.03 e=36: train acc 0.9751037955284119 | val acc 0.8503563404083252
lr=0.03 e=37: train acc 0.9656195044517517 | val acc 0.864608108997345
lr=0.03 e=38: train acc 0.9911085367202759 | val acc 0.8717340230941772
lr=0.03 e=39: train acc 0.984588086605072 | val acc 0.8551069498062134
lr=0.03 e=40: train acc 0.9869591593742371 | val acc 0.8313539624214172
lr=0.03 e=41: train acc 0.9934796094894409 | val acc 0.8622328042984009
lr=0.03 e=42: train acc 0.9964434504508972 | val acc 0.864608108997345
lr=0.03 e=43: train acc 0.9994072914123535 | val acc 0.8693587183952332
lr=0.03 e=44: train acc 0.9994072914123535 | val acc 0.8622328042984009
lr=0.03 e=45: train acc 0.9893302321434021 | val acc 0.8527316451072693
lr=0.03 e=46: train acc 1.0 | val acc 0.8717340230941772
lr=0.03 e=47: train acc 1.0 | val acc 0.8669834136962891
lr=0.03 e=48: train acc 1.0 | val acc 0.8669834136962891
lr=0.03 e=49: train acc 1.0 | val acc 0.864608108997345
lr=0.03 e=50: train acc 1.0 | val acc 0.8669834136962891
lr=0.001 e=0: train acc 0.09958506375551224 | val acc 0.08313539624214172
lr=0.001 e=1: train acc 0.7522228956222534 | val acc 0.7482185363769531
lr=0.001 e=2: train acc 0.817427396774292 | val acc 0.8147268891334534
lr=0.001 e=3: train acc 0.8239478468894958 | val acc 0.7719715237617493
lr=0.001 e=4: train acc 0.8577356338500977 | val acc 0.8432304263114929
lr=0.001 e=5: train acc 0.8802608251571655 | val acc 0.8622328042984009
lr=0.001 e=6: train acc 0.8796680569648743 | val acc 0.8479810357093811
lr=0.001 e=7: train acc 0.8784825205802917 | val acc 0.8361045718193054
lr=0.001 e=8: train acc 0.9039715528488159 | val acc 0.8693587183952332
lr=0.001 e=9: train acc 0.8938944935798645 | val acc 0.8503563404083252
lr=0.001 e=10: train acc 0.9140486717224121 | val acc 0.8717340230941772
lr=0.001 e=11: train acc 0.9217546582221985 | val acc 0.8717340230941772
lr=0.001 e=12: train acc 0.895080029964447 | val acc 0.845605731010437
lr=0.001 e=13: train acc 0.9223474264144897 | val acc 0.8907364010810852
lr=0.001 e=14: train acc 0.9081209301948547 | val acc 0.8551069498062134
lr=0.001 e=15: train acc 0.925311267375946 | val acc 0.8764845728874207
lr=0.001 e=16: train acc 0.925311267375946 | val acc 0.8598574995994568
lr=0.001 e=17: train acc 0.93657386302948 | val acc 0.8812351822853088
lr=0.001 e=18: train acc 0.9347955584526062 | val acc 0.8764845728874207
lr=0.001 e=19: train acc 0.9371666312217712 | val acc 0.8764845728874207
lr=0.001 e=20: train acc 0.9436870813369751 | val acc 0.8836104869842529
